WKT,D_NOP
"MULTIPOLYGON (((110.820864430017 -7.57586232806137,110.820913286733 -7.57587519303582,110.820871157817 -7.5760346512545,110.82082211832 -7.57602531401957,110.820864430017 -7.57586232806137)))","337202000600400050001"
"MULTIPOLYGON (((110.82081067998 -7.57584475730861,110.820851197093 -7.57585644291882,110.820812690357 -7.57602540059763,110.820785133711 -7.57602077595638,110.820807641293 -7.57595882223004,110.820798035015 -7.57595167218114,110.82081067998 -7.57584475730861)))","337202000600400040001"
"MULTIPOLYGON (((110.820747474543 -7.57589366849134,110.820783460387 -7.575902005337,110.820773198379 -7.57594605363233,110.820737303184 -7.57593771682307,110.820747474543 -7.57589366849134)))","337202000600400030001"
"MULTIPOLYGON (((110.820738206612 -7.57594522511895,110.820782350493 -7.57595537446085,110.820768455591 -7.57601579396273,110.820724221051 -7.576005644582,110.820738206612 -7.57594522511895)))","337202000600400030001"
"MULTIPOLYGON (((110.820509758961 -7.57594947296229,110.820551528607 -7.57578223533803,110.820609359211 -7.57579691318184,110.820584388221 -7.57589694824457,110.82065790037 -7.57591516036166,110.820682871308 -7.57581521575133,110.82074133668 -7.57582944155456,110.820699657755 -7.57599667923559,110.820509758961 -7.57594947296229)))","337202000600400020001"
"MULTIPOLYGON (((110.820252236525 -7.57567501093467,110.820343693132 -7.57570480899425,110.820324264517 -7.57577445280406,110.820401219391 -7.57579764151443,110.82042164413 -7.57573053090534,110.820538028148 -7.57576567615983,110.820490545818 -7.5759366201618,110.820188524189 -7.5758531847566,110.820252236525 -7.57567501093467)))","337202000600400010001"
"MULTIPOLYGON (((110.821421531582 -7.57444871514507,110.821426889222 -7.57442655539467,110.821318841851 -7.57440036903735,110.821328921079 -7.57435966755521,110.821466699616 -7.57439301219312,110.821451353377 -7.57445596392355,110.821421531582 -7.57444871514507)))","337202000600302480001"
"MULTIPOLYGON (((110.821361225633 -7.57582218832602,110.821415973657 -7.5758378598252,110.821381840066 -7.57595444479669,110.821323648178 -7.57593642000029,110.821361225633 -7.57582218832602)))","337202000600302470001"
"MULTIPOLYGON (((110.821021410707 -7.57549694664961,110.820784474542 -7.57542222226489,110.820834116485 -7.57528972330187,110.821068879491 -7.57535820523836,110.821021410707 -7.57549694664961)))","337202000600302460001"
"MULTIPOLYGON (((110.821428225854 -7.57492316445801,110.821442365622 -7.57492823584224,110.821392267326 -7.57506878536099,110.821379487274 -7.57506389544651,110.821428225854 -7.57492316445801)))","337202000600302450001"
"MULTIPOLYGON (((110.820506810003 -7.57497045653624,110.82079441757 -7.57505316212597,110.820787425296 -7.5750821959204,110.820498007012 -7.57499379079368,110.820506810003 -7.57497045653624)))","337202000600302430001"
"MULTIPOLYGON (((110.821889747758 -7.57490399563687,110.821907240426 -7.57491214391257,110.821873757924 -7.57498901860829,110.821839314198 -7.57497833060433,110.821889747758 -7.57490399563687)))","337202000600302410001"
"MULTIPOLYGON (((110.821827523388 -7.57433074464486,110.821968386195 -7.57435911525526,110.82194931606 -7.57443961412709,110.821809000564 -7.57440292169662,110.821827523388 -7.57433074464486)))","337202000600302400001"
"MULTIPOLYGON (((110.820321034334 -7.57547521999585,110.8204941555 -7.57553833985015,110.820442521415 -7.5756651391629,110.820274658084 -7.57560202145711,110.820321034334 -7.57547521999585)))","337202000600302390001"
"MULTIPOLYGON (((110.820515820264 -7.57554151477054,110.820638726096 -7.57558914573949,110.820624751908 -7.5756220663023,110.820566651313 -7.57560268459006,110.820527542191 -7.575693668134,110.820460558939 -7.57567102629824,110.820515820264 -7.57554151477054)))","337202000600302380001"
"MULTIPOLYGON (((110.820651958709 -7.57559575454352,110.820770239696 -7.57564718276202,110.820748643967 -7.57569629198064,110.820709488873 -7.57567926996381,110.820680089415 -7.57574664826339,110.820601144769 -7.57571233258184,110.820651958709 -7.57559575454352)))","337202000600302370001"
"MULTIPOLYGON (((110.820858433759 -7.57567471794871,110.82093638288 -7.57570505307032,110.820915868652 -7.57576954041808,110.820831211568 -7.57573829796406,110.820858433759 -7.57567471794871)))","337202000600302360001"
"MULTIPOLYGON (((110.820948437982 -7.57570930950152,110.820989134078 -7.57572660350124,110.820954372271 -7.57582753913249,110.820911771594 -7.57581232485536,110.820948437982 -7.57570930950152)))","337202000600302350001"
"MULTIPOLYGON (((110.820997834981 -7.57573094900939,110.821041795488 -7.57574607337988,110.821004951396 -7.57584040480472,110.820966610028 -7.57582853918931,110.820997834981 -7.57573094900939)))","337202000600302340001"
"MULTIPOLYGON (((110.821048047601 -7.57575322204531,110.82109771739 -7.57577287160193,110.821092453951 -7.5757863475207,110.821069069262 -7.57577711130852,110.821051918061 -7.57582016175496,110.821025542379 -7.57580956745775,110.821048047601 -7.57575322204531)))","337202000600302330001"
"MULTIPOLYGON (((110.821114306345 -7.57577423526953,110.821156918778 -7.57576095560241,110.821185470507 -7.5757706462159,110.821144358548 -7.57588243408604,110.821083900913 -7.57586305147374,110.821114306345 -7.57577423526953)))","337202000600302320001"
"MULTIPOLYGON (((110.821198613004 -7.57577598856973,110.821267773738 -7.57579437971151,110.821227749225 -7.57590716306222,110.821159678027 -7.57588461134294,110.821198613004 -7.57577598856973)))","337202000600302310001"
"MULTIPOLYGON (((110.821286446522 -7.57579863884915,110.821345181563 -7.57581847301138,110.821306698766 -7.57592980969134,110.821245606471 -7.57591060775464,110.821286446522 -7.57579863884915)))","337202000600302300001"
"MULTIPOLYGON (((110.821428029365 -7.57584066893282,110.821470812749 -7.57585253632877,110.821436223409 -7.57597518173155,110.821394529193 -7.57596005832958,110.821428029365 -7.57584066893282)))","337202000600302290001"
"MULTIPOLYGON (((110.821487309379 -7.5758579705058,110.821640858063 -7.57590100045153,110.821599832803 -7.57602264820618,110.821452809803 -7.57598278691281,110.821487309379 -7.5758579705058)))","337202000600302280001"
"MULTIPOLYGON (((110.821648818014 -7.57594360892074,110.821699848245 -7.57596181165602,110.821661194747 -7.57604754899016,110.821618503331 -7.57603242520101,110.821648818014 -7.57594360892074)))","337202000600302270001"
"MULTIPOLYGON (((110.821711359779 -7.57596525373158,110.821759671686 -7.57598037981185,110.82172382945 -7.57606367596538,110.821675607295 -7.57605072088383,110.821711359779 -7.57596525373158)))","337202000600302260001"
"MULTIPOLYGON (((110.821769551576 -7.57598354984735,110.821827652242 -7.57600302185814,110.821790722624 -7.57608523208945,110.821734887795 -7.57606693694101,110.821769551576 -7.57598354984735)))","337202000600302250001"
"MULTIPOLYGON (((110.821840884924 -7.57600954016972,110.821892460353 -7.57602466757045,110.821854443354 -7.57610579187959,110.82180277901 -7.57608641296258,110.821840884924 -7.57600954016972)))","337202000600302240001"
"MULTIPOLYGON (((110.82190242997 -7.57603009906271,110.821938595707 -7.57604196370712,110.821898401664 -7.57612643403617,110.821865319912 -7.57611022871755,110.82190242997 -7.57603009906271)))","337202000600302230001"
"MULTIPOLYGON (((110.821937588196 -7.57606711031931,110.821981637531 -7.57608684793553,110.821959771737 -7.57613161517326,110.821914725549 -7.57611106303488,110.821937588196 -7.57606711031931)))","337202000600302220001"
"MULTIPOLYGON (((110.822081929201 -7.57601551840688,110.822140937531 -7.57603227703938,110.822115399357 -7.57618984256711,110.822013882356 -7.57615434197771,110.822060528454 -7.57603161099589,110.822076661929 -7.57603840185633,110.822081929201 -7.57601551840688)))","337202000600302210001"
"MULTIPOLYGON (((110.822153356603 -7.57603327713709,110.822195053043 -7.57604306350961,110.822185335204 -7.57608684069253,110.822186511914 -7.57609118310521,110.822198566559 -7.57609661544207,110.822148663693 -7.57620297240627,110.822126638088 -7.57619536502964,110.822153356603 -7.57603327713709)))","337202000600302200001"
"MULTIPOLYGON (((110.822207863482 -7.57619503636872,110.822341653488 -7.57622946459673,110.8223308559 -7.57625352173326,110.822191356481 -7.57621483969551,110.822207863482 -7.57619503636872)))","337202000600302190001"
"MULTIPOLYGON (((110.822187847454 -7.57615034247756,110.822360160708 -7.57619536988622,110.822347095384 -7.57622286346128,110.822205510987 -7.5761840901208,110.822180478544 -7.57621374977112,110.822157456643 -7.57620397102312,110.822187847454 -7.57615034247756)))","337202000600302180001"
"MULTIPOLYGON (((110.822206180089 -7.57609987499945,110.822370877496 -7.5761472511744,110.822362249733 -7.57618560139065,110.822188848236 -7.57614156856472,110.822206180089 -7.57609987499945)))","337202000600302170001"
"MULTIPOLYGON (((110.822280453014 -7.57603161033726,110.822402278946 -7.57606069670515,110.822375233776 -7.57613522218038,110.82226546603 -7.5761028842765,110.822280453014 -7.57603161033726)))","337202000600302160001"
"MULTIPOLYGON (((110.822298339225 -7.57596440814167,110.822411642189 -7.5759972902198,110.822398113087 -7.57605047337401,110.822283812518 -7.57601858591123,110.822298339225 -7.57596440814167)))","337202000600302150001"
"MULTIPOLYGON (((110.82222637247 -7.57593552301363,110.822290002992 -7.57595499722025,110.822257761846 -7.57609962468315,110.822198481321 -7.57608340869661,110.82222637247 -7.57593552301363)))","337202000600302140001"
"MULTIPOLYGON (((110.822088052543 -7.57589467046009,110.822213138412 -7.57593235161924,110.822194967805 -7.57602985676412,110.822063262895 -7.57599542934429,110.822088052543 -7.57589467046009)))","337202000600302130001"
"MULTIPOLYGON (((110.821832013478 -7.57597896210132,110.821871778517 -7.57583542323249,110.821911389501 -7.5758462038049,110.821894136619 -7.5759163008642,110.82201831613 -7.57595352942375,110.822042005142 -7.57588397773063,110.822072733021 -7.57589258369263,110.822030697667 -7.57604598145757,110.821832013478 -7.57597896210132)))","337202000600302120001"
"MULTIPOLYGON (((110.821748958143 -7.57579991386977,110.821809325594 -7.57581821087034,110.821780184536 -7.57591896795705,110.821831757277 -7.57594060826197,110.82182104668 -7.57597353019954,110.821711191081 -7.57593458876644,110.821748958143 -7.57579991386977)))","337202000600302110001"
"MULTIPOLYGON (((110.82165351424 -7.57576631527934,110.821736813752 -7.57579231051788,110.821693695475 -7.57593349612099,110.821662244125 -7.57592063836084,110.821667246265 -7.57588120119171,110.821634706339 -7.57587015212235,110.82165351424 -7.57576631527934)))","337202000600302100001"
"MULTIPOLYGON (((110.821573386627 -7.57574267320442,110.821641368028 -7.57576314431322,110.821623285238 -7.57586725282339,110.821554034715 -7.57584669073462,110.821573386627 -7.57574267320442)))","337202000600302090001"
"MULTIPOLYGON (((110.82151093239 -7.57572871724858,110.821562508742 -7.57574149280799,110.821538626369 -7.575840171523,110.821484965915 -7.57582513368335,110.82151093239 -7.57572871724858)))","337202000600302080001"
"MULTIPOLYGON (((110.821458090101 -7.57570816186904,110.821496522088 -7.57572011793538,110.821470733826 -7.57582404236666,110.821426772812 -7.57581009397875,110.821458090101 -7.57570816186904)))","337202000600302070001"
"MULTIPOLYGON (((110.821421924405 -7.57569629718548,110.821451564867 -7.5757038172619,110.821419067746 -7.5758090053365,110.821389427761 -7.57580030931799,110.821421924405 -7.57569629718548)))","337202000600302060001"
"MULTIPOLYGON (((110.821337445062 -7.57567364830951,110.821409868888 -7.57569303579325,110.821379548326 -7.57579605379114,110.821309301538 -7.57577332028927,110.821337445062 -7.57567364830951)))","337202000600302050001"
"MULTIPOLYGON (((110.821096606893 -7.57560805863991,110.821153892681 -7.57562490715368,110.821125478352 -7.57572168438831,110.821119486891 -7.57574194427737,110.821062201015 -7.57572527667263,110.821096606893 -7.57560805863991)))","337202000600302040001"
"MULTIPOLYGON (((110.821153892681 -7.57562490715368,110.821314691814 -7.5756720107508,110.821286368209 -7.57576869757675,110.821125478352 -7.57572168438831,110.821153892681 -7.57562490715368)))","337202000600302040001"
"MULTIPOLYGON (((110.821005969078 -7.5755711149775,110.821081743861 -7.57559819273039,110.821040538066 -7.57571766939089,110.820970293065 -7.57569068436054,110.821005969078 -7.5755711149775)))","337202000600302030001"
"MULTIPOLYGON (((110.820901639383 -7.57554212587545,110.820945509214 -7.57555725021798,110.820927176944 -7.57560654170165,110.82096442911 -7.57562166332152,110.820946092282 -7.57568199054796,110.820868145444 -7.5756461375571,110.820901639383 -7.57554212587545)))","337202000600302020001"
"MULTIPOLYGON (((110.820783171943 -7.57550318067064,110.820888496935 -7.57553669305596,110.820852735733 -7.57564296522694,110.82076164463 -7.57560611178452,110.820783171943 -7.57550318067064)))","337202000600302010001"
"MULTIPOLYGON (((110.820724980741 -7.57548370848541,110.820776465862 -7.57549775049615,110.820748501696 -7.57560185490054,110.820697924889 -7.57558347132821,110.820724980741 -7.57548370848541)))","337202000600302000001"
"MULTIPOLYGON (((110.820653644819 -7.57546432133709,110.820712834545 -7.57548053749371,110.820684782891 -7.57557695301979,110.820633209804 -7.57555639806387,110.820653644819 -7.57546432133709)))","337202000600301990001"
"MULTIPOLYGON (((110.820609683869 -7.57545037286793,110.82064594152 -7.57545898120693,110.820622241685 -7.57555422258085,110.820589248883 -7.57554235913561,110.820609683869 -7.57545037286793)))","337202000600301980001"
"MULTIPOLYGON (((110.820571342098 -7.57543959270139,110.820601979673 -7.57544720370266,110.820579460151 -7.57553801317132,110.82055090935 -7.57552615155306,110.820571342098 -7.57543959270139)))","337202000600301970001"
"MULTIPOLYGON (((110.820533907309 -7.57542772742222,110.820561462717 -7.5754352466994,110.820538581998 -7.57552261865419,110.820509124556 -7.5755110280304,110.820533907309 -7.57542772742222)))","337202000600301960001"
"MULTIPOLYGON (((110.820340551452 -7.57541073226567,110.820515308617 -7.57546354069753,110.820503324185 -7.57550758827718,110.820332200358 -7.57543732315424,110.820340551452 -7.57541073226567)))","337202000600301960001"
"MULTIPOLYGON (((110.820357429098 -7.5753716618392,110.820518950536 -7.57542536937933,110.820511778503 -7.5754506039037,110.820347354886 -7.57539997069887,110.820357429098 -7.5753716618392)))","337202000600301950001"
"MULTIPOLYGON (((110.82042438914 -7.57523130031589,110.820633948869 -7.57530375219751,110.820618056199 -7.57537240245321,110.820404599298 -7.57529768753364,110.82042438914 -7.57523130031589)))","337202000600301940001"
"MULTIPOLYGON (((110.820459876241 -7.57513036502488,110.820673698226 -7.57519892899611,110.820650816646 -7.57528847192421,110.820573319651 -7.57526112201764,110.820585576962 -7.57521481312468,110.820529017898 -7.57519452747415,110.820520666146 -7.5752227465912,110.82043854632 -7.57519430927313,110.820459876241 -7.57513036502488)))","337202000600301930001"
"MULTIPOLYGON (((110.820491188274 -7.57504154923663,110.820612555445 -7.57508293804921,110.820592946683 -7.5751499585498,110.820469039228 -7.57511336290112,110.820491188274 -7.57504154923663)))","337202000600301920001"
"MULTIPOLYGON (((110.820761452828 -7.57541217207374,110.8206526831 -7.57537856778312,110.820722959691 -7.57510966829541,110.820848135449 -7.57514834490314,110.820761452828 -7.57541217207374)))","337202000600301910001"
"MULTIPOLYGON (((110.821067856145 -7.57542161511874,110.821218231924 -7.57546428207864,110.821199626797 -7.57551583488581,110.821049162253 -7.57546855457984,110.821067856145 -7.57542161511874)))","337202000600301900001"
"MULTIPOLYGON (((110.821140278538 -7.57522453923521,110.821286666681 -7.57526440036842,110.821244737729 -7.57537908253857,110.821100072518 -7.57533786524456,110.821140278538 -7.57522453923521)))","337202000600301900001"
"MULTIPOLYGON (((110.821272852946 -7.57534806735243,110.821344460241 -7.5753689018217,110.821292363095 -7.57552012442092,110.821221844061 -7.57549820490637,110.821272852946 -7.57534806735243)))","337202000600301890001"
"MULTIPOLYGON (((110.8213562442 -7.57537116807807,110.821440812015 -7.57539897303018,110.821411860888 -7.57547865370813,110.821369530658 -7.5754671483206,110.821344028652 -7.57553633740519,110.821302967561 -7.57552483253171,110.8213562442 -7.57537116807807)))","337202000600301880001"
"MULTIPOLYGON (((110.821477651393 -7.575315767763,110.821527868124 -7.5753280000268,110.821547435137 -7.5753621103037,110.821517851211 -7.57543753925476,110.821448693017 -7.57541308754073,110.821477651393 -7.575315767763)))","337202000600301870001"
"MULTIPOLYGON (((110.821461015123 -7.57542937483775,110.821515580791 -7.57544748858576,110.82149733645 -7.57550356440041,110.821443405272 -7.57548563182398,110.821461015123 -7.57542937483775)))","337202000600301860001"
"MULTIPOLYGON (((110.82144131597 -7.57549603351338,110.821491802556 -7.57551342193683,110.821453501579 -7.57562367322428,110.8214076381 -7.5756067389765,110.82144131597 -7.57549603351338)))","337202000600301850001"
"MULTIPOLYGON (((110.821531435837 -7.57546992839926,110.821560894309 -7.57547907661803,110.821506434399 -7.57564450001207,110.821477066606 -7.57563526136971,110.821531435837 -7.57546992839926)))","337202000600301840001"
"MULTIPOLYGON (((110.821556590218 -7.57558454762521,110.82159665265 -7.57559967034284,110.821573508134 -7.57566768446677,110.821534714356 -7.57565373820674,110.821556590218 -7.57558454762521)))","337202000600301830001"
"MULTIPOLYGON (((110.821572678756 -7.57548016692883,110.821614916368 -7.57549646647571,110.821591861546 -7.57556683251782,110.821547175292 -7.57555297430226,110.821572678756 -7.57548016692883)))","337202000600301820001"
"MULTIPOLYGON (((110.821555591004 -7.57536916928509,110.821598010915 -7.5753830265712,110.821566790106 -7.57547093791043,110.821522014623 -7.57545364229289,110.821555591004 -7.57536916928509)))","337202000600301810001"
"MULTIPOLYGON (((110.821628828695 -7.57539335128206,110.821677864793 -7.57541082954684,110.821660530836 -7.57545758867866,110.821612401487 -7.5754395680417,110.821628828695 -7.57539335128206)))","337202000600301800001"
"MULTIPOLYGON (((110.821687291813 -7.57541300437242,110.821710949162 -7.57542052198148,110.82168998879 -7.57546800328545,110.821668235078 -7.5754606673685,110.821687291813 -7.57541300437242)))","337202000600301790001"
"MULTIPOLYGON (((110.821720285232 -7.57542342042451,110.821761345322 -7.57543736759524,110.821744009923 -7.57548765454991,110.821701590927 -7.57547153585505,110.821720285232 -7.57542342042451)))","337202000600301780001"
"MULTIPOLYGON (((110.821671215394 -7.57548798657929,110.821733485471 -7.57550881716237,110.821723138457 -7.57553938736708,110.821663136636 -7.57551385395126,110.821671215394 -7.57548798657929)))","337202000600301770001"
"MULTIPOLYGON (((110.821659687506 -7.57552434554196,110.821717243146 -7.57554635013702,110.821709163943 -7.5755733029927,110.82165269662 -7.57555012290218,110.821659687506 -7.57552434554196)))","337202000600301760001"
"MULTIPOLYGON (((110.821610046826 -7.57565431180954,110.821671954088 -7.57567568499467,110.821664148699 -7.57569811511526,110.82160242274 -7.57567674200325,110.821610046826 -7.57565431180954)))","337202000600301750001"
"MULTIPOLYGON (((110.821636457151 -7.57558069069175,110.821698183135 -7.57560197334185,110.821681936972 -7.57564882337622,110.821620210982 -7.57562754072373,110.821636457151 -7.57558069069175)))","337202000600301750001"
"MULTIPOLYGON (((110.82173365473 -7.57553812527451,110.82176836882 -7.57555279350274,110.821751486868 -7.57560262835831,110.821715956488 -7.57558895482068,110.82173365473 -7.57553812527451)))","337202000600301740001"
"MULTIPOLYGON (((110.821713956022 -7.57560378893703,110.821767978139 -7.57562108831923,110.821735574951 -7.57571849716291,110.821681553344 -7.57569993137984,110.821713956022 -7.57560378893703)))","337202000600301740001"
"MULTIPOLYGON (((110.821866914731 -7.57553808933934,110.821892022093 -7.57554669301484,110.821843828175 -7.57568579605126,110.821818811459 -7.57567719240993,110.821866914731 -7.57553808933934)))","337202000600301730001"
"MULTIPOLYGON (((110.821782420339 -7.57555207559718,110.821828828117 -7.57556810545917,110.821812491131 -7.57561540774629,110.821765992657 -7.57559946830232,110.821782420339 -7.57555207559718)))","337202000600301730001"
"MULTIPOLYGON (((110.821928129489 -7.57547976965534,110.821986864555 -7.57549951327412,110.821894197511 -7.57576804199413,110.821802470341 -7.575734535413,110.821818893973 -7.57569700250966,110.821851615941 -7.57570624250117,110.821928129489 -7.57547976965534)))","337202000600301720001"
"MULTIPOLYGON (((110.821998646108 -7.57550765921229,110.822082036024 -7.57553419716297,110.822035750485 -7.57566208434319,110.821955803953 -7.57563898515403,110.821998646108 -7.57550765921229)))","337202000600301710001"
"MULTIPOLYGON (((110.822045261893 -7.57567954641568,110.822114511338 -7.57570273167676,110.822070493602 -7.57582700150883,110.821999974959 -7.57580390617869,110.822045261893 -7.57567954641568)))","337202000600301700001"
"MULTIPOLYGON (((110.822081008916 -7.57582809128763,110.822127473317 -7.57570617433367,110.822186208016 -7.57572691295225,110.822143368751 -7.57585127373002,110.822081008916 -7.57582809128763)))","337202000600301690001"
"MULTIPOLYGON (((110.822398794043 -7.57571587348941,110.822352775792 -7.57585533929923,110.822254611678 -7.57582309658358,110.822300629956 -7.57568363078458,110.822398794043 -7.57571587348941)))","337202000600301680001"
"MULTIPOLYGON (((110.822367993783 -7.57566267225704,110.822276265188 -7.57563260313774,110.822199567964 -7.57586522704248,110.822159051515 -7.5758518228756,110.822248365106 -7.57558121221908,110.82228888157 -7.57559452592039,110.822297685924 -7.57556766380595,110.822389414507 -7.57559773292054,110.822367993783 -7.57566267225704)))","337202000600301680001"
"MULTIPOLYGON (((110.822488910126 -7.575698994782,110.82241774951 -7.57591533873702,110.822339614564 -7.57589567771879,110.822412771768 -7.57567399763268,110.822488910126 -7.575698994782)))","337202000600301680001"
"MULTIPOLYGON (((110.822399198295 -7.57561420007055,110.822529356723 -7.57566156209757,110.82251556287 -7.57569719650542,110.822385586851 -7.57564712084076,110.822399198295 -7.57561420007055)))","337202000600301670001"
"MULTIPOLYGON (((110.822413994153 -7.57556680667465,110.822543335618 -7.57561679161506,110.822530720591 -7.57565161239148,110.822400200627 -7.57560162696665,110.822413994153 -7.57556680667465)))","337202000600301660001"
"MULTIPOLYGON (((110.82242996646 -7.57552438888861,110.822555591769 -7.57557283454244,110.822543884607 -7.57560439923988,110.82241680825 -7.57555740030177,110.82242996646 -7.57552438888861)))","337202000600301650001"
"MULTIPOLYGON (((110.822316843737 -7.57549440151248,110.82233624067 -7.57550128415135,110.822340234295 -7.57548934546619,110.822422172632 -7.57551868692475,110.822399302729 -7.57558055013692,110.822299504063 -7.57555527194901,110.822316843737 -7.57549440151248)))","337202000600301640001"
"MULTIPOLYGON (((110.822534450065 -7.57539905817305,110.822618107773 -7.57543581776334,110.822589069721 -7.57550690508088,110.822506861191 -7.57547322161092,110.822534450065 -7.57539905817305)))","337202000600301630001"
"MULTIPOLYGON (((110.822364285766 -7.575419974814,110.822393325812 -7.57534409329558,110.822522033082 -7.57539299249954,110.82249453423 -7.57546869374105,110.822364285766 -7.575419974814)))","337202000600301620001"
"MULTIPOLYGON (((110.822349914327 -7.57531648622921,110.822387167706 -7.575328713107,110.822354950432 -7.57541526724647,110.82231769764 -7.57540159305524,110.822349914327 -7.57531648622921)))","337202000600301610001"
"MULTIPOLYGON (((110.822309669995 -7.57530281081728,110.822340669575 -7.57531195961219,110.822306730961 -7.57539588979499,110.822276820286 -7.57538411819104,110.822309669995 -7.57530281081728)))","337202000600301600001"
"MULTIPOLYGON (((110.822259199532 -7.57546724091519,110.822307420085 -7.57548399512158,110.822280731618 -7.57557299384686,110.82223087971 -7.57555524394536,110.822259199532 -7.57546724091519)))","337202000600301590001"
"MULTIPOLYGON (((110.822216009904 -7.57556184123149,110.82224157028 -7.57557107827041,110.822192466935 -7.57571750798742,110.822159654602 -7.57570754432904,110.822216009904 -7.57556184123149)))","337202000600301580001"
"MULTIPOLYGON (((110.822167600993 -7.57556227375364,110.822198599067 -7.5755751312922,110.822148687472 -7.57570292654766,110.822118957791 -7.57569187866196,110.822167600993 -7.57556227375364)))","337202000600301570001"
"MULTIPOLYGON (((110.822085830017 -7.57556694411925,110.822144565103 -7.57558668771709,110.822106267177 -7.57568988342642,110.82204871005 -7.57567140670144,110.822085830017 -7.57556694411925)))","337202000600301560001"
"MULTIPOLYGON (((110.822075098939 -7.57542890246936,110.822191661286 -7.57547146482435,110.822170056451 -7.57554318834513,110.822055488528 -7.57550044588509,110.822075098939 -7.57542890246936)))","337202000600301550001"
"MULTIPOLYGON (((110.822091891752 -7.57537526837262,110.822200930035 -7.57541746582388,110.822190399227 -7.57545418703648,110.822079910451 -7.57541207944689,110.822091891752 -7.57537526837262)))","337202000600301540001"
"MULTIPOLYGON (((110.821838192976 -7.57528027535992,110.821897198447 -7.57530372783473,110.821860880327 -7.57544229298967,110.821803505702 -7.57542101214308,110.821838192976 -7.57528027535992)))","337202000600301530001"
"MULTIPOLYGON (((110.821904268377 -7.57530617306254,110.822001886647 -7.57534275756397,110.82198363621 -7.57541384924771,110.822059503391 -7.57543676585069,110.822039803178 -7.5755062287197,110.82186622696 -7.57544690847947,110.821904268377 -7.57530617306254)))","337202000600301530001"
"MULTIPOLYGON (((110.82172906307 -7.57524061057553,110.821823691657 -7.57527258058957,110.821788731194 -7.5754163023382,110.82167860151 -7.57538287865935,110.82172906307 -7.57524061057553)))","337202000600301520001"
"MULTIPOLYGON (((110.821673320901 -7.57521770215587,110.821718277226 -7.57523608331472,110.82165847844 -7.57537825711726,110.821605816562 -7.57535996325306,110.821673320901 -7.57521770215587)))","337202000600301510001"
"MULTIPOLYGON (((110.821601987694 -7.57519171180838,110.821659362836 -7.57521163582717,110.821591947248 -7.57535851026155,110.821570194957 -7.57534773697737,110.821552985479 -7.57531227081347,110.821601987694 -7.57519171180838)))","337202000600301500001"
"MULTIPOLYGON (((110.821440556702 -7.57513836653298,110.82158603493 -7.57518645877269,110.821538939551 -7.57529942017573,110.821399261219 -7.57525585314415,110.821440556702 -7.57513836653298)))","337202000600301490001"
"MULTIPOLYGON (((110.821504417258 -7.57503907100588,110.821549283313 -7.57505645711859,110.82152877174 -7.57511479343026,110.821484631052 -7.57509704578494,110.821504417258 -7.57503907100588)))","337202000600301480001"
"MULTIPOLYGON (((110.821357604631 -7.57514954917783,110.821407548411 -7.5751641332231,110.821378590552 -7.57526018660002,110.821329553105 -7.57524605520765,110.821357604631 -7.57514954917783)))","337202000600301470001"
"MULTIPOLYGON (((110.821261843088 -7.57522721238786,110.821295172589 -7.57508195224709,110.821343301773 -7.57510024428888,110.821329587688 -7.57516211119838,110.821306382432 -7.57515748837597,110.821288039932 -7.57523174598323,110.821261843088 -7.57522721238786)))","337202000600301460001"
"MULTIPOLYGON (((110.821220120644 -7.575060844986,110.821281123285 -7.57507733317978,110.821273587013 -7.57510663813028,110.82121158726 -7.57508996861225,110.821220120644 -7.575060844986)))","337202000600301450001"
"MULTIPOLYGON (((110.821179634608 -7.57519380004133,110.821255412096 -7.57521418395213,110.821252052455 -7.57522747974085,110.821174824965 -7.57520600975107,110.821179634608 -7.57519380004133)))","337202000600301440001"
"MULTIPOLYGON (((110.821186807418 -7.57516657545272,110.821262314434 -7.57518334097436,110.821256592374 -7.57520984250425,110.821180452498 -7.57518891570336,110.821186807418 -7.57516657545272)))","337202000600301430001"
"MULTIPOLYGON (((110.821173260984 -7.57504164888277,110.821214141279 -7.57505179683957,110.821203156686 -7.57508960332401,110.821162367712 -7.57507782717904,110.821173260984 -7.57504164888277)))","337202000600301420001"
"MULTIPOLYGON (((110.821093828195 -7.57509209122635,110.821144406306 -7.57510721830356,110.82114004769 -7.57512485561344,110.821117386953 -7.57511878569391,110.821097870412 -7.57518218797991,110.821069408705 -7.5751741256229,110.821093828195 -7.57509209122635)))","337202000600301400001"
"MULTIPOLYGON (((110.821106083543 -7.57505039561916,110.821141705706 -7.57506117462162,110.821137438751 -7.57507636963229,110.821152757083 -7.57508126059602,110.821146856584 -7.57510079686826,110.821095462784 -7.57508521717172,110.821106083543 -7.57505039561916)))","337202000600301390001"
"MULTIPOLYGON (((110.82108195837 -7.57507824644187,110.82106188966 -7.57516163947899,110.820967438616 -7.57513898643691,110.82100031121 -7.57500277182454,110.82103992258 -7.57501237653454,110.821027118755 -7.57506510765881,110.82108195837 -7.57507824644187)))","337202000600301380001"
"MULTIPOLYGON (((110.820828904624 -7.57495892020243,110.82090477293 -7.57497876146896,110.820875893633 -7.57510385151467,110.820804647934 -7.57508564036907,110.820828904624 -7.57495892020243)))","337202000600301370001"
