WKT,D_NOP
"MULTIPOLYGON (((110.818551033108 -7.57352703937471,110.81860179342 -7.57353936265344,110.818586995823 -7.57359010282138,110.8185360542 -7.5735777794653,110.818551033108 -7.57352703937471)))","337202000600202620001"
"MULTIPOLYGON (((110.817833872346 -7.57354591695923,110.817857257032 -7.57355470105708,110.817849900497 -7.5735872624696,110.817825972121 -7.57357793540253,110.817833872346 -7.57354591695923)))","337202000600102680001"
"MULTIPOLYGON (((110.81653896042 -7.57554564704254,110.81657476419 -7.57555552192408,110.816561141558 -7.57561386088552,110.816522889617 -7.57560525136804,110.81653896042 -7.57554564704254)))","337202000600102260001"
"MULTIPOLYGON (((110.816518706067 -7.57563718089021,110.816622311313 -7.57566363793763,110.816617497139 -7.57568625013493,110.816513166932 -7.57565915958259,110.816518706067 -7.57563718089021)))","337202000600102760001"
"MULTIPOLYGON (((110.816144583704 -7.57520301093722,110.816177577041 -7.57521324649195,110.816166774962 -7.57524716326927,110.816132512482 -7.57523692717792,110.816144583704 -7.57520301093722)))","337202000600102730001"
"MULTIPOLYGON (((110.816062281808 -7.57517710551703,110.816138963874 -7.57520147079776,110.816126530423 -7.57523448231643,110.816050845036 -7.575211293394,110.816062281808 -7.57517710551703)))","337202000600102720001"
"MULTIPOLYGON (((110.815981158564 -7.57515083875187,110.816053580546 -7.57517375493731,110.816042959535 -7.57520821452923,110.815933011149 -7.57517605588194,110.815981158564 -7.57515083875187)))","337202000600102710001"
"MULTIPOLYGON (((110.815953129459 -7.57519171342623,110.81603797017 -7.57521635354265,110.816022625571 -7.57527351581979,110.815938328806 -7.57524878547315,110.815953129459 -7.57519171342623)))","337202000600102740001"
"MULTIPOLYGON (((110.81612392782 -7.57453090746599,110.816422322759 -7.57461153996266,110.816399445854 -7.57468805685848,110.816133682775 -7.57461476512917,110.816120368968 -7.57458608467225,110.816123378343 -7.57454402348444,110.81612392782 -7.57453090746599)))","337202000600102700001"
"MULTIPOLYGON (((110.816298180391 -7.57448873761351,110.816374773076 -7.57450984636483,110.816353891871 -7.57458319810831,110.81627584896 -7.57456154600005,110.816298180391 -7.57448873761351)))","337202000600101590001"
"MULTIPOLYGON (((110.816174034873 -7.57437353360825,110.816317249848 -7.57441230957391,110.816464907371 -7.57444982096821,110.816445751994 -7.57451512277969,110.816154245999 -7.57443621188875,110.816174034873 -7.57437353360825)))","337202000600102690001"
"MULTIPOLYGON (((110.820118860088 -7.57442574585095,110.820174602857 -7.57444675487109,110.82012097408 -7.57457445789862,110.820059973922 -7.5745522707598,110.820118860088 -7.57442574585095)))","337202000600202790001"
"MULTIPOLYGON (((110.820163846341 -7.57459021510416,110.820212579106 -7.57446431918889,110.820259621127 -7.57448071130431,110.820213245535 -7.5746061559133,110.820163846341 -7.57459021510416)))","337202000600202780001"
"MULTIPOLYGON (((110.820239679834 -7.5746938195772,110.820350715378 -7.57472814855715,110.820337283017 -7.57476613492309,110.820225794199 -7.5747318057525,110.820239679834 -7.5746938195772)))","337202000600202800001"
"MULTIPOLYGON (((110.82015713068 -7.57460794188766,110.820251397969 -7.57463611289859,110.820238054568 -7.57467816985955,110.820143153114 -7.57464900355764,110.82015713068 -7.57460794188766)))","337202000600200790001"
"MULTIPOLYGON (((110.819703104038 -7.57426121375128,110.819754131768 -7.57428475366661,110.819680091044 -7.57444845004499,110.819629968811 -7.57442735283249,110.819703104038 -7.57426121375128)))","337202000600202830001"
"MULTIPOLYGON (((110.819611107763 -7.57444000899078,110.819670112956 -7.57446355221959,110.819619207979 -7.57458076330708,110.819558296919 -7.57456237532595,110.819611107763 -7.57444000899078)))","337202000600202820001"
"MULTIPOLYGON (((110.816868855868 -7.57488011354721,110.816927320711 -7.57489497305525,110.816895916548 -7.57498559767047,110.816838177033 -7.57497046709231,110.816868855868 -7.57488011354721)))","337202000600102670001"
"MULTIPOLYGON (((110.817231037914 -7.57611436916425,110.817301376972 -7.57613285188436,110.817203607408 -7.57645574198261,110.81712819489 -7.57642974919305,110.817231037914 -7.57611436916425)))","337202000600102660001"
"MULTIPOLYGON (((110.817135501183 -7.57608664925008,110.817212185151 -7.57610703424333,110.817112513412 -7.57642612433206,110.817050967981 -7.57640692161978,110.817040192121 -7.57637878499813,110.817135501183 -7.57608664925008)))","337202000600101970001"
"MULTIPOLYGON (((110.822602959099 -7.57523771092282,110.822614489676 -7.57519456766424,110.822652196835 -7.57520552830716,110.82263731188 -7.57524921294248,110.822602959099 -7.57523771092282)))","337202000600302490001"
